date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter
2022-11-10,87.456,10.95,77.76,1.44,0.48,0.7548,34.9595,2.1929,43.3333,76.8393,11,0,0,1,0
2022-11-11,103.2869,11.65,90.53,0.76,17.36,1.4549,38.6845,2.4452,11.1595,87.456,11,0,0,1,0
2022-11-12,3.7143,7.1,51.53,4.88,7.29,0.4062,11.7167,2.8524,41.5357,103.2869,11,0,0,1,0
2022-11-13,6.8702,1.42,57.37,1.73,7.55,0.2211,17.5976,2.4655,37.6512,3.7143,11,0,0,1,0
2022-11-14,27.0417,4.01,58.75,1.33,0.0,0.4443,40.3702,2.1917,10.8905,6.8702,11,0,0,1,0
2022-11-15,18.8488,5.2,49.86,2.62,0.0,0.4019,32.5393,2.2298,28.6893,27.0417,11,0,0,1,0
2022-11-16,20.8036,5.1,56.6,1.43,0.0,0.4235,41.3702,2.45,19.025,18.8488,11,0,0,1,0
2022-11-17,59.3988,6.52,61.71,1.28,0.0,0.6593,51.0643,2.7643,13.1869,20.8036,11,0,0,1,0
2022-11-18,82.5345,4.99,65.67,1.49,0.0,0.949,50.0298,3.1143,12.6786,59.3988,11,0,0,1,0
2022-11-19,97.3929,7.19,65.36,1.24,0.0,0.9442,44.6893,2.5345,24.0214,82.5345,11,0,0,1,0
2022-11-20,113.3607,4.36,60.75,1.6,0.0,1.027,43.956,2.1679,7.744,97.3929,11,0,0,1,0
2022-11-21,38.3143,4.72,56.81,1.69,0.0,0.5162,28.1179,2.381,23.3786,113.3607,11,0,0,1,0
2022-11-22,39.8726,4.05,71.77,1.58,0.0,0.5863,38.706,2.7107,17.7131,38.3143,11,0,0,1,0
2022-11-23,69.0583,5.0,75.86,1.24,0.0,0.6849,41.5298,2.2702,16.131,39.8726,11,0,0,1,0
2022-11-24,116.6476,5.15,82.89,1.26,0.0,0.9512,49.0143,2.0988,7.5583,69.0583,11,0,0,1,0
2022-11-25,57.2905,3.24,47.49,3.77,0.0,0.5854,24.706,2.3,37.8607,116.6476,11,0,0,1,0
2022-11-26,5.6905,-2.63,37.58,2.25,0.0,0.2451,12.9107,2.3381,48.3905,57.2905,11,0,0,1,0
2022-11-27,17.2881,-0.05,56.63,1.13,0.94,0.4136,28.444,2.806,26.3929,5.6905,11,0,0,1,0
2022-11-28,28.2893,3.13,44.29,4.19,0.11,0.3387,20.4357,2.7619,32.3405,17.2881,11,0,0,1,0
2022-11-29,7.8333,-8.21,22.19,7.13,0.0,0.2425,2.8607,2.25,49.0714,28.2893,11,0,0,1,0
2022-11-30,8.3893,-8.58,31.94,2.87,0.0,0.3152,7.4286,2.4262,46.6643,7.8333,11,0,0,1,0
2022-12-01,11.6679,-6.65,38.11,1.97,0.0,0.2538,14.3119,2.5214,40.4,8.3893,12,0,0,0,1
2022-12-02,36.4845,-5.56,50.69,1.29,0.0,0.5414,40.5548,3.2429,11.2048,11.6679,12,0,0,0,1
2022-12-03,13.0595,-5.59,37.93,2.88,0.0,0.2686,16.2381,2.1964,45.8036,36.4845,12,0,0,0,1
2022-12-04,14.0833,-5.7,44.13,1.56,0.0,0.2906,26.9548,2.2583,31.9143,13.0595,12,0,0,0,1
2022-12-05,21.1702,-4.6,41.74,2.5,0.0,0.3629,30.794,2.4583,22.894,14.0833,12,0,0,0,1
2022-12-06,26.5548,-3.67,42.55,2.54,0.0,0.4548,39.4952,2.8429,21.7667,21.1702,12,0,0,0,1
2022-12-07,21.6226,-1.63,42.56,1.79,0.0,0.4383,40.2357,2.7476,23.4536,26.5548,12,0,0,0,1
2022-12-08,22.5964,0.86,48.46,1.81,0.0,0.4364,37.3119,2.4655,23.975,21.6226,12,0,0,0,1
2022-12-09,41.8357,-0.17,52.2,1.52,0.0,0.521,45.4536,3.3917,19.5702,22.5964,12,0,0,0,1
2022-12-10,8.9095,-2.2,39.7,4.43,0.0,0.2194,10.7988,2.2452,57.8071,41.8357,12,0,0,0,1
2022-12-11,10.1024,-3.68,45.5,2.56,0.0,0.2525,22.3869,2.2262,44.6357,8.9095,12,0,0,0,1
2022-12-12,140.4048,-3.77,46.15,2.61,0.0,0.2885,19.25,2.5405,44.8881,10.1024,12,0,0,0,1
2022-12-13,22.8179,-8.27,32.7,5.03,0.0,0.2187,4.1786,2.1762,57.1476,140.4048,12,0,0,0,1
