date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter,Z_PM2_5,Z_Temperature,Z_Humidity,Z_WindSpeed,Z_Precipitation,Z_CO,Z_NO2,Z_SO2,Z_O3,Z_Lag_PM2_5
2024-10-23,20.757142857142856,9.06,68.71,1.82,0.0,0.423095238095238,34.92857142857143,2.4654761904761906,19.194047619047616,11.684523809523808,10,0,0,1,0,-0.36354180273414144,-0.2694891802005448,0.600520493077575,-0.40030058479078684,-0.2857176044983565,-0.3167893810656652,0.9487838172728126,-0.5888405484706031,-1.304836365427058,-0.7166785300956432
2024-10-24,41.00357142857143,11.69,65.97,2.02,0.0,0.5548809523809524,39.886904761904766,2.732142857142857,28.710714285714285,20.757142857142856,10,0,0,1,0,0.42398066976160964,-0.04830344876032006,0.4427397849827922,-0.20461413848586474,-0.2857176044983565,0.33577313217850746,1.3478606643846662,-0.255395604334836,-1.015246138401423,-0.3638613608209194
2024-10-25,106.0154761904762,11.58,81.96,1.02,0.0,0.7705952380952381,44.04761904761905,2.769047619047619,34.911904761904765,41.00357142857143,10,0,0,1,0,2.952739546870621,-0.057554563003067064,1.363511143535924,-1.1830463700104756,-0.2857176044983565,1.4039242378681556,1.6827402755865697,-0.20924920581604695,-0.8265451761076361,0.4234843415613438
2024-10-26,151.81190476190477,10.68,87.69,1.19,0.09,1.0761904761904764,44.179761904761904,2.947619047619048,28.091666666666665,106.0154761904762,10,0,0,1,0,4.734076760631957,-0.133245497716452,1.6934686097341387,-1.0167128906512917,-0.2740680564775413,2.9171383042618246,1.6933759370582178,0.014039819274868883,-1.0340836312777466,2.9516756043999037
2024-10-27,14.579761904761908,10.28,63.8,2.29,0.0,0.3245238095238095,20.475,2.529761904761905,35.93095238095238,151.81190476190477,10,0,0,1,0,-0.6038225171329448,-0.16688591314462312,0.31778207090772664,0.05956256402578018,-0.2857176044983565,-0.8048849194271598,-0.2145275874774907,-0.5084564994378732,-0.7955357647573807,4.732612972833094
2024-10-28,22.051190476190477,9.83,66.1,1.51,0.0,0.4117857142857142,34.90119047619047,2.6785714285714284,30.30119047619048,14.579761904761908,10,0,0,1,0,-0.3132074152699865,-0.2047313805013155,0.45022573098728896,-0.7036145765634163,-0.2857176044983565,-0.3727906807568996,0.9465800315624705,-0.3223823118621109,-0.9668482720884072,-0.6040881409503697
2024-10-29,65.26547619047619,11.4,69.48,1.68,0.0,0.6216666666666667,47.392857142857146,2.7380952380952386,30.060714285714287,22.051190476190477,10,0,0,1,0,1.367692552484218,-0.07269274994574403,0.6448603271042117,-0.5372810972042324,-0.2857176044983565,0.6664755440393755,1.9519853993283003,-0.24795263683180493,-0.9741659135519023,-0.31353827159357056
2024-10-30,64.51666666666665,10.55,76.16,1.33,0.0,0.8172619047619047,43.76428571428571,3.244047619047618,27.19642857142857,65.26547619047619,10,0,0,1,0,1.3385662141999917,-0.14417863273060752,1.0295227833352885,-0.8797323782378461,-0.2857176044983565,1.6350032850151432,1.6599358843230347,0.3846996009257873,-1.0613255440527376,1.3669843953362906
2024-10-31,95.95595238095235,11.43,90.51,0.84,0.01,0.88,47.139285714285705,2.5023809523809524,15.351190476190478,64.51666666666665,10,0,0,1,0,2.5614556700793516,-0.07016971878863125,1.8558560538316895,-1.3591641716849057,-0.2844232102738215,1.9456631264602011,1.9315764273151361,-0.542694149951814,-1.4217737250516198,1.337864594854227
2024-11-01,96.25833333333334,12.48,72.3,1.4,0.0,0.8929761904761905,32.48095238095238,2.841666666666667,34.482142857142854,95.95595238095235,11,0,0,1,0,2.5732173392752085,0.01813637171031788,0.8072477712017618,-0.8112421220311236,-0.2857176044983565,2.009917249263828,0.7517845381222793,-0.1184450022790744,-0.8396227432775455,2.5604795565884055
2024-11-02,81.21547619047618,11.08,83.01,1.53,0.01,0.8627380952380953,31.705952380952382,2.3928571428571423,23.014285714285712,96.25833333333334,11,0,0,1,0,1.9880974496734967,-0.0996050822882809,1.4239745535722468,-0.6840459319329241,-0.2844232102738215,1.8601874585104228,0.6894078208426115,-0.6796447520075761,-1.1885872988114385,2.5722385857178884
2024-11-03,44.38333333333333,10.29,62.92,3.79,0.09,0.5892857142857143,19.269047619047612,2.7964285714285717,43.17023809523809,81.21547619047618,11,0,0,1,0,0.5554427912066283,-0.16604490275891884,0.2671079748772856,1.5272109113126964,-0.2740680564775413,0.5061349807128941,-0.31158997550253525,-0.17501155530210613,-0.575245775947913,1.9872500342213115
2024-11-04,3.5571428571428574,4.9,48.58,2.53,0.01,0.2541666666666667,14.678571428571423,2.453571428571429,36.39285714285714,44.38333333333333,11,0,0,1,0,-1.0325677733708563,-0.6193495006535239,-0.5586494536187693,0.29438629959168655,-0.2844232102738215,-1.1532719522431538,-0.6810594406797997,-0.6037264834766635,-0.7814800969958163,0.5549169545479518
2024-11-05,15.603571428571428,5.34,56.77,2.13,0.0,0.4159523809523809,33.58571428571429,2.8738095238095243,17.924999999999997,3.5571428571428574,11,0,0,1,0,-0.5639995426902833,-0.5823450436825358,-0.08703485533545743,-0.09698659301815768,-0.2857176044983565,-0.3521586229759183,0.840702500696061,-0.07825297776270919,-1.3434532258235212,-1.0327371594931682
2024-11-06,29.3547619047619,6.13,61.18,1.52,0.0,0.5685714285714286,44.21666666666667,3.4488095238095235,17.559523809523807,15.603571428571428,11,0,0,1,0,-0.02912142898425546,-0.5159052232118979,0.16691146681709476,-0.6938302542481701,-0.2857176044983565,0.4035641791731598,1.6963462569286785,0.6407376830300379,-1.3545745918101197,-0.5642741053151169
2024-11-07,67.73690476190475,7.09,74.27,1.01,0.0,0.7964285714285714,57.9047619047619,3.947619047619048,15.359523809523814,29.3547619047619,11,0,0,1,0,1.4638233605574333,-0.43516822618428735,0.9206886452699088,-1.1928306923257217,-0.2857176044983565,1.5318429961102378,2.798047478559432,1.2644583597839956,-1.4215201434167462,-0.029516052265342218
